Description,Severity,Status,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
42 lines of code for unit VehicleTracker.updateVehiclePositions(),MEDIUM,RAW,8,VehicleTracker.updateVehiclePositions(),client/scripts/trackers/vehicle-tracker.ts#L98:149,TypeScript,42,13,0
42 lines of code for unit FilterController.fetchBulkData(),MEDIUM,RAW,8,FilterController.fetchBulkData(),client/scripts/controllers/filter-controller.ts#L158:205,TypeScript,42,8,0
"42 lines of code for unit FilterController.fetchAvailableRoutes(Date,any)",MEDIUM,RAW,8,"FilterController.fetchAvailableRoutes(Date,any)",client/scripts/controllers/filter-controller.ts#L691:744,TypeScript,42,12,2
"42 lines of code for unit BusController.getStops(Request,Response)",MEDIUM,RAW,8,"BusController.getStops(Request,Response)",server/controllers/transit.controller.ts#L1043:1091,TypeScript,42,9,2
40 lines of code for unit URLSyncManager.buildURL(Readonly<IMapState>),MEDIUM,RAW,8,URLSyncManager.buildURL(Readonly<IMapState>),client/scripts/state/url-sync.ts#L99:151,TypeScript,40,18,1
40 lines of code for unit TimePickerPanel.render(),MEDIUM,RAW,8,TimePickerPanel.render(),client/scripts/components/time-picker.ts#L110:154,TypeScript,40,5,0
"39 lines of code for unit MapController.getUser(Request,Response)",MEDIUM,RAW,8,"MapController.getUser(Request,Response)",server/controllers/map.controller.ts#L66:112,TypeScript,39,8,2
39 lines of code for unit ModerationService.geminiModerate(string),MEDIUM,RAW,1,ModerationService.geminiModerate(string),server/services/moderation.service.ts#L56:101,TypeScript,39,8,1
"38 lines of code for unit BusController.getPatterns(Request,Response)",MEDIUM,RAW,8,"BusController.getPatterns(Request,Response)",server/controllers/transit.controller.ts#L998:1040,TypeScript,38,7,2
38 lines of code for unit map.ts.closeAllPanels(),MEDIUM,RAW,8,map.ts.closeAllPanels(),client/scripts/map.ts#L346:383,TypeScript,38,16,0
38 lines of code for unit TransitModel.getDetoursWithGeometry(string),MEDIUM,RAW,8,TransitModel.getDetoursWithGeometry(string),server/models/transit.model.ts#L217:260,TypeScript,38,10,1
"38 lines of code for unit BusController.handleError(unknown,Response)",MEDIUM,RAW,8,"BusController.handleError(unknown,Response)",server/controllers/transit.controller.ts#L1172:1214,TypeScript,38,11,2
"37 lines of code for unit EmailService.sendAccountInactivatedEmail(string,string)",MEDIUM,RAW,8,"EmailService.sendAccountInactivatedEmail(string,string)",server/services/email.service.ts#L68:108,TypeScript,37,3,2
"36 lines of code for unit EmailService.sendAccountReactivatedEmail(string,string)",MEDIUM,RAW,8,"EmailService.sendAccountReactivatedEmail(string,string)",server/services/email.service.ts#L116:155,TypeScript,36,3,2
36 lines of code for unit FilterController.fetchAllRoutes(),MEDIUM,RAW,8,FilterController.fetchAllRoutes(),client/scripts/controllers/filter-controller.ts#L113:151,TypeScript,36,10,0
"35 lines of code for unit User.updatePrivilege(string,IPrivilegeLevel)",MEDIUM,RAW,8,"User.updatePrivilege(string,IPrivilegeLevel)",server/models/user.model.ts#L566:607,TypeScript,35,7,2
35 lines of code for unit tripshot.service.ts.decodePolyline(string),MEDIUM,RAW,8,tripshot.service.ts.decodePolyline(string),server/services/tripshot.service.ts#L164:210,TypeScript,35,8,1
33 lines of code for unit env.ts,MEDIUM,RAW,8,env.ts,server/env.ts#L3:57,TypeScript,33,46,0
32 lines of code for unit map.ts.initializeTogglePanels(),MEDIUM,RAW,8,map.ts.initializeTogglePanels(),client/scripts/map.ts#L287:326,TypeScript,32,5,0
32 lines of code for unit TogglePanel.render(),MEDIUM,RAW,8,TogglePanel.render(),client/scripts/components/toggle-panel.ts#L58:91,TypeScript,32,2,0
"32 lines of code for unit MemoryMonitorService.logSummaryIfNeeded(string,IMemorySummary)",MEDIUM,RAW,8,"MemoryMonitorService.logSummaryIfNeeded(string,IMemorySummary)",server/services/memory-monitor.service.ts#L198:232,TypeScript,32,5,2
"32 lines of code for unit AccountController.getAllUsers(Request,Response)",MEDIUM,RAW,8,"AccountController.getAllUsers(Request,Response)",server/controllers/account.controller.ts#L130:164,TypeScript,32,4,2
"31 lines of code for unit User.updateStatus(string,IAccountStatus)",MEDIUM,RAW,8,"User.updateStatus(string,IAccountStatus)",server/models/user.model.ts#L525:560,TypeScript,31,5,2
"30 lines of code for unit NotificationController.submitReport(Request,Response)",LOW,RAW,1,"NotificationController.submitReport(Request,Response)",server/controllers/notification.controller.ts#L135:169,TypeScript,30,4,2
30 lines of code for unit FilterController.refreshRouteColors(),LOW,RAW,8,FilterController.refreshRouteColors(),client/scripts/controllers/filter-controller.ts#L998:1034,TypeScript,30,9,0
"30 lines of code for unit TrueTimeService.call(string,Record<string, string>,any)",LOW,RAW,8,"TrueTimeService.call(string,Record<string, string>,any)",server/services/truetime.service.ts#L135:177,TypeScript,30,6,3
29 lines of code for unit GoogleMapProvider.addMarker(IMapMarkerOptions),LOW,RAW,8,GoogleMapProvider.addMarker(IMapMarkerOptions),client/scripts/maps/google-map.provider.ts#L58:87,TypeScript,29,4,1
29 lines of code for unit FilterController.prefetchRoutes(),LOW,RAW,8,FilterController.prefetchRoutes(),client/scripts/controllers/filter-controller.ts#L294:326,TypeScript,29,6,0
"28 lines of code for unit RouteRenderer.renderDetourGeometry(string,IDetour[])",LOW,RAW,8,"RouteRenderer.renderDetourGeometry(string,IDetour[])",client/scripts/renderers/route-renderer.ts#L66:98,TypeScript,28,10,2
28 lines of code for unit MemoryMonitorService.getTrendWindowMetrics(),LOW,RAW,8,MemoryMonitorService.getTrendWindowMetrics(),server/services/memory-monitor.service.ts#L147:196,TypeScript,28,5,0
28 lines of code for unit MongoDB.seedDefaultAdmin(),LOW,RAW,8,MongoDB.seedDefaultAdmin(),server/db/mongo.db.ts#L314:346,TypeScript,28,2,0
"28 lines of code for unit BusController.getRoutes(Request,Response)",LOW,RAW,8,"BusController.getRoutes(Request,Response)",server/controllers/transit.controller.ts#L928:961,TypeScript,28,7,2
"28 lines of code for unit TrueTimeService.getStops(string,string)",LOW,RAW,8,"TrueTimeService.getStops(string,string)",server/services/truetime.service.ts#L254:285,TypeScript,28,11,2
27 lines of code for unit MemoryMonitorService.capture(string),LOW,RAW,8,MemoryMonitorService.capture(string),server/services/memory-monitor.service.ts#L99:128,TypeScript,27,5,1
"27 lines of code for unit NotificationController.handleError(Response,unknown,responses.ServerErrorName)",LOW,RAW,1,"NotificationController.handleError(Response,unknown,responses.ServerErrorName)",server/controllers/notification.controller.ts#L221:252,TypeScript,27,8,3
27 lines of code for unit TransitModel.getDetours(string[]),LOW,RAW,8,TransitModel.getDetours(string[]),server/models/transit.model.ts#L181:211,TypeScript,27,3,1
27 lines of code for unit ZoomControls.connectedCallback(),LOW,RAW,8,ZoomControls.connectedCallback(),client/scripts/components/zoom-controls.ts#L6:37,TypeScript,27,1,0
"27 lines of code for unit NotificationModel.subscribe(string,string)",LOW,RAW,1,"NotificationModel.subscribe(string,string)",server/models/notification.model.ts#L88:119,TypeScript,27,3,2
26 lines of code for unit User.validateUser(ILogin),LOW,RAW,8,User.validateUser(ILogin),server/models/user.model.ts#L99:135,TypeScript,26,3,1
"26 lines of code for unit BusController.getHealth(Request,Response)",LOW,RAW,8,"BusController.getHealth(Request,Response)",server/controllers/transit.controller.ts#L72:99,TypeScript,26,8,2
"26 lines of code for unit MapController.authorize(Request,Response,NextFunction)",LOW,RAW,8,"MapController.authorize(Request,Response,NextFunction)",server/controllers/map.controller.ts#L28:63,TypeScript,26,3,3
26 lines of code for unit TransitSearch.connectedCallback(),LOW,RAW,8,TransitSearch.connectedCallback(),client/scripts/components/transit-search.ts#L6:35,TypeScript,26,1,0
"26 lines of code for unit User.updateUsername(string,string)",LOW,RAW,8,"User.updateUsername(string,string)",server/models/user.model.ts#L612:645,TypeScript,26,3,2
"26 lines of code for unit RouteRenderer.renderStopMarkers(string,IStop[],string,void)",LOW,RAW,8,"RouteRenderer.renderStopMarkers(string,IStop[],string,void)",client/scripts/renderers/route-renderer.ts#L263:302,TypeScript,26,4,4
25 lines of code for unit FilterController.fetchAndShowDetours(string),LOW,RAW,8,FilterController.fetchAndShowDetours(string),client/scripts/controllers/filter-controller.ts#L385:411,TypeScript,25,8,1
"25 lines of code for unit BusController.filterRoutesByDateTime(Request,Response)",LOW,RAW,8,"BusController.filterRoutesByDateTime(Request,Response)",server/controllers/transit.controller.ts#L965:995,TypeScript,25,4,2
"25 lines of code for unit AccountController.authenticateToken(Request,Response,NextFunction)",LOW,RAW,8,"AccountController.authenticateToken(Request,Response,NextFunction)",server/controllers/account.controller.ts#L53:84,TypeScript,25,4,3
