Description,Severity,Status,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"McCabe complexity of 7 for unit User.updatePrivilege(string,IPrivilegeLevel)",LOW,RAW,8,"User.updatePrivilege(string,IPrivilegeLevel)",server/models/user.model.ts#L566:607,TypeScript,35,7,2
McCabe complexity of 8 for unit tripshot.service.ts.decodePolyline(string),LOW,RAW,8,tripshot.service.ts.decodePolyline(string),server/services/tripshot.service.ts#L164:210,TypeScript,35,8,1
"McCabe complexity of 6 for unit TrueTimeService.call(string,Record<string, string>,any)",LOW,RAW,8,"TrueTimeService.call(string,Record<string, string>,any)",server/services/truetime.service.ts#L135:177,TypeScript,30,6,3
McCabe complexity of 9 for unit FilterController.refreshRouteColors(),LOW,RAW,8,FilterController.refreshRouteColors(),client/scripts/controllers/filter-controller.ts#L998:1034,TypeScript,30,9,0
McCabe complexity of 6 for unit FilterController.prefetchRoutes(),LOW,RAW,8,FilterController.prefetchRoutes(),client/scripts/controllers/filter-controller.ts#L294:326,TypeScript,29,6,0
"McCabe complexity of 7 for unit BusController.getRoutes(Request,Response)",LOW,RAW,8,"BusController.getRoutes(Request,Response)",server/controllers/transit.controller.ts#L928:961,TypeScript,28,7,2
"McCabe complexity of 10 for unit RouteRenderer.renderDetourGeometry(string,IDetour[])",LOW,RAW,8,"RouteRenderer.renderDetourGeometry(string,IDetour[])",client/scripts/renderers/route-renderer.ts#L66:98,TypeScript,28,10,2
"McCabe complexity of 8 for unit NotificationController.handleError(Response,unknown,responses.ServerErrorName)",LOW,RAW,1,"NotificationController.handleError(Response,unknown,responses.ServerErrorName)",server/controllers/notification.controller.ts#L221:252,TypeScript,27,8,3
"McCabe complexity of 8 for unit BusController.getHealth(Request,Response)",LOW,RAW,8,"BusController.getHealth(Request,Response)",server/controllers/transit.controller.ts#L72:99,TypeScript,26,8,2
McCabe complexity of 8 for unit FilterController.fetchAndShowDetours(string),LOW,RAW,8,FilterController.fetchAndShowDetours(string),client/scripts/controllers/filter-controller.ts#L385:411,TypeScript,25,8,1
"McCabe complexity of 8 for unit FilterController.fetchStops(string,string)",LOW,RAW,8,"FilterController.fetchStops(string,string)",client/scripts/controllers/filter-controller.ts#L750:780,TypeScript,25,8,2
McCabe complexity of 7 for unit FilterController.fetchRouteGeometry(string),LOW,RAW,8,FilterController.fetchRouteGeometry(string),client/scripts/controllers/filter-controller.ts#L656:686,TypeScript,25,7,1
"McCabe complexity of 8 for unit GTFSService.filterRoutesByDateTime(Date,string)",LOW,RAW,8,"GTFSService.filterRoutesByDateTime(Date,string)",server/services/gtfs.service.ts#L412:440,TypeScript,24,8,2
McCabe complexity of 8 for unit TrueTimeService.getPredictions(string),LOW,RAW,8,TrueTimeService.getPredictions(string),server/services/truetime.service.ts#L312:339,TypeScript,24,8,1
McCabe complexity of 9 for unit auth.ts.setInputError(string),LOW,RAW,8,auth.ts.setInputError(string),client/scripts/auth.ts#L79:100,TypeScript,22,9,1
McCabe complexity of 7 for unit account.ts.loadAccount(string),LOW,RAW,8,account.ts.loadAccount(string),client/scripts/account.ts#L732:756,TypeScript,21,7,1
"McCabe complexity of 6 for unit AccountController.handleError(Response,unknown)",LOW,RAW,8,"AccountController.handleError(Response,unknown)",server/controllers/account.controller.ts#L678:697,TypeScript,19,6,2
McCabe complexity of 6 for unit NotificationModel.searchNotifications(any),LOW,RAW,1,NotificationModel.searchNotifications(any),server/models/notification.model.ts#L320:349,TypeScript,19,6,1
"McCabe complexity of 6 for unit GoogleMapProvider.animatePosition(ILatLng,any)",LOW,RAW,8,"GoogleMapProvider.animatePosition(ILatLng,any)",client/scripts/maps/google-map.provider.ts#L89:105,TypeScript,18,6,2
McCabe complexity of 6 for unit ModerationService.moderate(string),LOW,RAW,1,ModerationService.moderate(string),server/services/moderation.service.ts#L36:54,TypeScript,17,6,1
McCabe complexity of 8 for unit GTFSService.getActiveServiceIds(Date),LOW,RAW,8,GTFSService.getActiveServiceIds(Date),server/services/gtfs.service.ts#L450:471,TypeScript,15,8,1
McCabe complexity of 6 for unit account.ts.populateUserSelector(),LOW,RAW,8,account.ts.populateUserSelector(),client/scripts/account.ts#L803:823,TypeScript,14,6,0
McCabe complexity of 7 for unit GoogleMapProvider.addPolyline(IMapPolylineOptions),LOW,RAW,8,GoogleMapProvider.addPolyline(IMapPolylineOptions),client/scripts/maps/google-map.provider.ts#L149:161,TypeScript,14,7,1
McCabe complexity of 9 for unit TrueTimeService.getDetours(string[]),LOW,RAW,8,TrueTimeService.getDetours(string[]),server/services/truetime.service.ts#L345:380,TypeScript,13,9,1
"McCabe complexity of 10 for unit RouteRenderer.extractImpactedSegments(Array<{ lat: number; lng: number }>,Array<{ lat: number; lng: number }>)",LOW,RAW,8,"RouteRenderer.extractImpactedSegments(Array<{ lat: number; lng: number }>,Array<{ lat: number; lng: number }>)",client/scripts/renderers/route-renderer.ts#L104:137,TypeScript,13,10,2
"McCabe complexity of 9 for unit auth.ts.getResponseMessage(IResponse|null,string)",LOW,RAW,8,"auth.ts.getResponseMessage(IResponse|null,string)",client/scripts/auth.ts#L110:144,TypeScript,11,9,2
"McCabe complexity of 6 for unit TransitModel.filterDetoursByRouteIds(IDetour[],string[])",LOW,RAW,8,"TransitModel.filterDetoursByRouteIds(IDetour[],string[])",server/models/transit.model.ts#L160:173,TypeScript,9,6,2
"McCabe complexity of 10 for unit account.ts.getResponseMessage(IResponse|null,string)",LOW,RAW,8,"account.ts.getResponseMessage(IResponse|null,string)",client/scripts/account.ts#L205:238,TypeScript,9,10,2
