ID,Path,Component,Lines of code,Duplication percentage,Start line,End line
2f631471-8ebc-42cc-80bf-91a9996c9295,server/controllers/transit.controller.ts,server,7,1.6548463,986,993
4306d010-c0b9-40ae-b13c-55d307ea1db4,server/services/trip-updates.service.ts,server,7,5.6,31,37
4306d010-c0b9-40ae-b13c-55d307ea1db4,server/services/vehicle-positions.service.ts,server,7,5.185185,29,35
4aa387ad-ec96-4491-8dce-07463631d659,client/scripts/components/route-selector.ts,scripts,6,4.4444447,125,157
4aa387ad-ec96-4491-8dce-07463631d659,client/scripts/components/time-picker.ts,scripts,6,3.8709676,110,146
50b790dc-1b1a-4030-851a-15a45fe8cc05,server/services/gtfs.service.ts,server,6,2.3255813,385,391
50b790dc-1b1a-4030-851a-15a45fe8cc05,server/services/gtfs.service.ts,server,6,2.3255813,413,419
515b0ae5-53d5-4ab3-8ebb-84bfd25a7691,client/scripts/maps/google-map.provider.ts,scripts,7,4.7619047,120,126
515b0ae5-53d5-4ab3-8ebb-84bfd25a7691,common/map.interface.ts,common,7,10.769231,50,56
523082bb-6e77-49d7-8d2b-2162c80aaac8,client/scripts/renderers/route-renderer.ts,scripts,6,2.2058823,309,316
523082bb-6e77-49d7-8d2b-2162c80aaac8,client/scripts/renderers/route-renderer.ts,scripts,6,2.2058823,332,339
