route_id,segment_index,from_stop_id,to_stop_id,distance_meters,duration_seconds
825c4caf-c531-4dbc-b11b-f90580abb70a,10,5965691a-b592-4e49-8cb7-cf997fa8b164,b953e313-52af-41ea-97cc-4f6b3f37614b,260,27
825c4caf-c531-4dbc-b11b-f90580abb70a,11,5e91626f-13ea-4af1-a4de-f3e56109a7e0,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,164,19
825c4caf-c531-4dbc-b11b-f90580abb70a,12,5f3c1dc0-64e2-491c-af6f-4ccd49ef122c,a2dbee05-84fd-4951-9c67-115928124323,315,66
825c4caf-c531-4dbc-b11b-f90580abb70a,13,615f6abf-a1d4-4679-a8dc-140f707e84b5,68a9aef8-ca58-492e-af12-da53fbbe925f,106,18
825c4caf-c531-4dbc-b11b-f90580abb70a,14,64aa846f-36fb-446d-99c4-cd33e19583de,f32c4dc4-4df2-457f-9b7a-240aa8a48667,200,36
825c4caf-c531-4dbc-b11b-f90580abb70a,15,68a9aef8-ca58-492e-af12-da53fbbe925f,fe91e07a-ad9b-4917-a0ea-fc1e7b5628b1,164,25
825c4caf-c531-4dbc-b11b-f90580abb70a,16,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,5965691a-b592-4e49-8cb7-cf997fa8b164,706,137
825c4caf-c531-4dbc-b11b-f90580abb70a,17,84e3df51-1618-4430-9723-e7a58b9532bf,615f6abf-a1d4-4679-a8dc-140f707e84b5,432,64
825c4caf-c531-4dbc-b11b-f90580abb70a,18,84e3df51-1618-4430-9723-e7a58b9532bf,b953e313-52af-41ea-97cc-4f6b3f37614b,152,22
825c4caf-c531-4dbc-b11b-f90580abb70a,19,a01ee824-2209-4927-8252-532d8c50b9f1,c3f86f14-5a3d-438d-91c7-d094c3b87ca6,267,55
825c4caf-c531-4dbc-b11b-f90580abb70a,20,a1e0a969-63dd-407e-b114-68aa4eaffaeb,5e91626f-13ea-4af1-a4de-f3e56109a7e0,173,21
825c4caf-c531-4dbc-b11b-f90580abb70a,21,a2dbee05-84fd-4951-9c67-115928124323,ad70a020-71d8-47a3-bfc5-be7d0ae182ef,335,58
825c4caf-c531-4dbc-b11b-f90580abb70a,22,ad70a020-71d8-47a3-bfc5-be7d0ae182ef,e0863f21-315c-4ead-99de-e3f3a0c6f1cc,268,65
825c4caf-c531-4dbc-b11b-f90580abb70a,23,b953e313-52af-41ea-97cc-4f6b3f37614b,5965691a-b592-4e49-8cb7-cf997fa8b164,260,40
825c4caf-c531-4dbc-b11b-f90580abb70a,24,b953e313-52af-41ea-97cc-4f6b3f37614b,84e3df51-1618-4430-9723-e7a58b9532bf,152,17
825c4caf-c531-4dbc-b11b-f90580abb70a,25,c3f86f14-5a3d-438d-91c7-d094c3b87ca6,37f01e68-57ab-4386-b38a-811e9f6b9a29,235,78
825c4caf-c531-4dbc-b11b-f90580abb70a,26,e0863f21-315c-4ead-99de-e3f3a0c6f1cc,4977f8f4-05c2-4721-90f0-cde4ad5a55da,440,96
825c4caf-c531-4dbc-b11b-f90580abb70a,27,eb44021a-5557-4142-bdcd-cc946d1e0203,2987ba0b-ae93-47b5-854d-37adf49426e3,162,35
825c4caf-c531-4dbc-b11b-f90580abb70a,28,f32c4dc4-4df2-457f-9b7a-240aa8a48667,530092c6-9a75-4620-89c7-f0ffe9e8c7c4,146,18
825c4caf-c531-4dbc-b11b-f90580abb70a,29,fe91e07a-ad9b-4917-a0ea-fc1e7b5628b1,eb44021a-5557-4142-bdcd-cc946d1e0203,161,26
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,0,076c69a1-d116-4350-991f-e18676b95b43,64aa846f-36fb-446d-99c4-cd33e19583de,176,26
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,1,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,da8b446b-4f2f-4789-913a-f8121c569fd1,197,36
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,2,2b4ab56e-c7bc-4962-84f8-fab85b5f2482,51226a6f-d93c-4d30-9f2e-616520ca4fef,410,69
af900fbf-8d7b-4f7c-b8bd-d0fe1453bc19,3,2b4ab56e-c7bc-4962-84f8-fab85b5f2482,c12d429c-2505-4899-b9fe-c9ce1842b7ce,181,24
